"quantity","point","boot_SE","ci_lo","ci_hi"
"delta_pos",-0.00257554190012934,0.00142342215469191,-0.00626106082094584,-0.000678746514630582
"delta_neg",-0.00270051998035958,0.0014349709372509,-0.00635409085860058,-0.00073432093397396
"regime_diff",0.000124978080230241,0.000135248879017882,-0.000190989004152805,0.000345723136059059
"Lpos_calm",0.773720069542134,0.0321068282438641,0.737779751984595,0.865883517245084
"Lneg_calm",0.58242476703678,0.0307563766161541,0.544131438591724,0.666589403162984
"Lpos_stress",0.634976753459619,0.0518431359182767,0.498735562793628,0.702878191623958
"Lneg_stress",0.436948936415131,0.0545203697108986,0.289616356974619,0.505019216152269
