"Series","N","Mean_pct","StdDev_pct","Min_pct","Max_pct","Skewness","Ex_Kurtosis"
"Portfolio",3013,0.058022212350896,2.11030717029128,-10.8211955027166,10.4674042374568,-0.0646093587266319,2.1427298711271
"IronOre",3013,-0.0145114167541859,1.99295149315592,-22.8683731689824,15.4519165779358,-1.9297916532757,28.385111405592
"Copper",3013,0.0112996922608175,1.70802734349527,-25.1712046899755,12.443711051779,-1.12790825991959,19.7040682082302
"AUDUSD",3013,-0.0118461326866836,0.73878632401271,-5.29129295152297,4.32117412653408,-0.310560323338299,3.17127934027399
"VIX",3013,-0.00164194651367793,8.81639933867412,-44.2448759164415,101.906435755563,1.48703453007635,12.1939294596569
"SP500",3013,0.0586508843318064,1.20920194125667,-9.99448524024729,9.08948798330371,-0.802558462339746,9.31200836544815
