"Date","P_Regime1","P_Regime2","F_Regime1","F_Regime2","Regime","P_HighVol"
2011-01-05,1.62398469866754e-83,0.999999999999999,0.0212727825700045,0.978727217429995,2,1.62398469866754e-83
2011-01-06,0.00423315618714078,0.995766843812858,0.0341044112054358,0.965895588794564,2,0.00423315618714078
2011-01-10,0.00702893959976171,0.992971060400237,0.03439068868044,0.96560931131956,2,0.00702893959976171
2011-01-11,0.00913487127231727,0.990865128727682,0.0556224424491169,0.944377557550883,2,0.00913487127231727
2011-01-12,0.0130201659292114,0.986979834070788,0.0644110975662913,0.935588902433709,2,0.0130201659292114
2011-01-13,0.0143977827456624,0.985602217254337,0.0476473259134313,0.952352674086569,2,0.0143977827456624
2011-01-19,0.0148048684314712,0.985195131568528,0.0934715248418428,0.906528475158157,2,0.0148048684314712
2011-01-20,0.019067232001211,0.980932767998788,0.0905418822913597,0.90945811770864,2,0.019067232001211
2011-01-24,0.0166684966073559,0.983331503392643,0.083848878408565,0.916151121591435,2,0.0166684966073559
2011-01-26,0.0139184460016913,0.986081553998308,0.0586586269634047,0.941341373036595,2,0.0139184460016913
2011-01-27,0.0111560728331711,0.988843927166828,0.0513698628740349,0.948630137125965,2,0.0111560728331711
2011-01-31,0.0110024374642016,0.988997562535797,0.0514066441861393,0.948593355813861,2,0.0110024374642016
2011-02-01,0.0121007969785621,0.987899203021437,0.0975025416403352,0.902497458359665,2,0.0121007969785621
2011-02-02,0.0138301301461589,0.98616986985384,0.0669099171892889,0.933090082810711,2,0.0138301301461589
2011-02-03,0.00930547712085975,0.990694522879139,0.0500835738223251,0.949916426177675,2,0.00930547712085975
2011-02-07,0.00702656293244327,0.992973437067556,0.0421047392649617,0.957895260735038,2,0.00702656293244327
2011-02-08,0.00601026868585892,0.99398973131414,0.0364004924720332,0.963599507527967,2,0.00601026868585892
2011-02-09,0.00563671914211272,0.994363280857886,0.0334243897824466,0.966575610217553,2,0.00563671914211272
2011-02-10,0.00603114245414195,0.993968857545857,0.0353805720776892,0.964619427922311,2,0.00603114245414195
2011-02-14,0.00740911947290742,0.992590880527092,0.0531549098986481,0.946845090101352,2,0.00740911947290742
2011-02-15,0.00952393682045994,0.990476063179539,0.0472486070174369,0.952751392982563,2,0.00952393682045994
2011-02-16,0.00944642162728561,0.990553578372713,0.0391957047628718,0.960804295237128,2,0.00944642162728561
2011-02-17,0.0104197365181478,0.989580263481851,0.0349494702364541,0.965050529763546,2,0.0104197365181478
2011-02-22,0.013960822776768,0.986039177223231,0.104066841978225,0.895933158021775,2,0.013960822776768
2011-02-23,0.0218507938685569,0.978149206131442,0.0831274636542413,0.916872536345759,2,0.0218507938685569
2011-02-24,0.0187861998747013,0.981213800125298,0.0580161071612875,0.941983892838713,2,0.0187861998747013
2011-02-28,0.0178372801426587,0.98216271985734,0.0556562888806024,0.944343711119398,2,0.0178372801426587
2011-03-01,0.02121876316504,0.978781236834959,0.0560426529732653,0.943957347026735,2,0.02121876316504
2011-03-02,0.0269775191376196,0.97302248086238,0.0458748561912201,0.95412514380878,2,0.0269775191376196
2011-03-03,0.0356882060707775,0.964311793929222,0.0528944180550548,0.947105581944945,2,0.0356882060707775
2011-03-07,0.0540942204736081,0.945905779526391,0.0652216353174227,0.934778364682577,2,0.0540942204736081
2011-03-08,0.0792079275361115,0.920792072463888,0.0588595809279292,0.941140419072071,2,0.0792079275361115
2011-03-09,0.108890811059135,0.891109188940864,0.299342940005141,0.700657059994859,2,0.108890811059135
2011-03-10,0.158060567746518,0.841939432253481,0.285553582744969,0.714446417255031,2,0.158060567746518
2011-03-14,0.145867805317328,0.854132194682671,0.430368833897397,0.569631166102603,2,0.145867805317328
2011-03-15,0.1346118998098,0.8653881001902,0.352420860143663,0.647579139856337,2,0.1346118998098
2011-03-16,0.0980664588949687,0.901933541105031,0.221213322803012,0.778786677196988,2,0.0980664588949687
2011-03-17,0.0715819642614603,0.928418035738539,0.300906831294667,0.699093168705333,2,0.0715819642614603
2011-03-21,0.0613583530238622,0.938641646976138,0.198834208592883,0.801165791407117,2,0.0613583530238622
2011-03-22,0.0389631546997158,0.961036845300284,0.12190933038115,0.87809066961885,2,0.0389631546997158
2011-03-23,0.0272268345816169,0.972773165418383,0.137925451466253,0.862074548533747,2,0.0272268345816169
2011-03-24,0.023097853535063,0.976902146464937,0.0970253632085684,0.902974636791432,2,0.023097853535063
2011-03-28,0.0160222765706172,0.983977723429383,0.0648106354866077,0.935189364513392,2,0.0160222765706172
2011-03-29,0.0122128280546163,0.987787171945383,0.0751977277582334,0.924802272241767,2,0.0122128280546163
2011-03-30,0.0115507091857474,0.988449290814252,0.0584895068771613,0.941510493122839,2,0.0115507091857474
2011-03-31,0.00908192054315307,0.990918079456847,0.0451795955746126,0.954820404425387,2,0.00908192054315307
2011-04-04,0.00790276713488536,0.992097232865114,0.0435895984834953,0.956410401516505,2,0.00790276713488536
2011-04-05,0.00827591126513159,0.991724088734868,0.0433053524496081,0.956694647550392,2,0.00827591126513159
2011-04-06,0.0092120595855613,0.990787940414438,0.0368991076408842,0.963100892359116,2,0.0092120595855613
2011-04-07,0.0108555502365944,0.989144449763405,0.0341428638261868,0.965857136173813,2,0.0108555502365944
2011-04-11,0.0154204675255059,0.984579532474494,0.0857606762163844,0.914239323783616,2,0.0154204675255059
2011-04-12,0.0249499802555044,0.975050019744495,0.130520100433634,0.869479899566366,2,0.0249499802555044
2011-04-13,0.0256967488803349,0.974303251119665,0.0913536393928179,0.908646360607182,2,0.0256967488803349
2011-04-14,0.0200898212895683,0.979910178710431,0.0643206295401312,0.935679370459869,2,0.0200898212895683
2011-04-18,0.018321723861493,0.981678276138506,0.0686297172272554,0.931370282772745,2,0.018321723861493
2011-04-19,0.0205520607771115,0.979447939222888,0.123869572676357,0.876130427323643,2,0.0205520607771115
2011-04-20,0.0228843497838579,0.977115650216142,0.0880134731149846,0.911986526885015,2,0.0228843497838579
2011-04-21,0.0174810958514132,0.982518904148586,0.0851321148006288,0.914867885199371,2,0.0174810958514132
2011-04-27,0.015351878888827,0.984648121111173,0.0719258244652466,0.928074175534753,2,0.015351878888827
2011-04-28,0.012910665502604,0.987089334497396,0.0550074206565638,0.944992579343436,2,0.012910665502604
2011-05-02,0.0114511324221654,0.988548867577834,0.0708829076001932,0.929117092399807,2,0.0114511324221654
2011-05-03,0.01210243788597,0.98789756211403,0.0695186866062361,0.930481313393764,2,0.01210243788597
2011-05-04,0.010462886638679,0.989537113361321,0.0513043640696963,0.948695635930304,2,0.010462886638679
2011-05-05,0.00832809989241338,0.991671900107586,0.0411964657464604,0.95880353425354,2,0.00832809989241338
2011-05-09,0.00788218275080397,0.992117817249196,0.0359167799893556,0.964083220010644,2,0.00788218275080397
2011-05-10,0.00903478423189383,0.990965215768106,0.0337980456613841,0.966201954338616,2,0.00903478423189383
2011-05-11,0.0123838686945409,0.987616131305459,0.0456989508859015,0.954301049114099,2,0.0123838686945409
2011-05-12,0.0193612982318711,0.980638701768129,0.124148663804972,0.875851336195028,2,0.0193612982318711
2011-05-16,0.0271572643321696,0.97284273566783,0.102958614051366,0.897041385948635,2,0.0271572643321696
2011-05-17,0.0227106453409423,0.977289354659057,0.0809386130272137,0.919061386972786,2,0.0227106453409423
2011-05-18,0.0200426905086853,0.979957309491314,0.0621057771226555,0.937894222877344,2,0.0200426905086853
2011-05-19,0.0198978419490658,0.980102158050934,0.0573083211546382,0.942691678845362,2,0.0198978419490658
2011-05-23,0.0233510324658598,0.97664896753414,0.159139038923815,0.840860961076185,2,0.0233510324658598
2011-05-24,0.0297620946891086,0.970237905310891,0.100062849352919,0.899937150647081,2,0.0297620946891086
2011-05-25,0.0214129962061905,0.978587003793809,0.0714916596116203,0.92850834038838,2,0.0214129962061905
2011-05-26,0.0187847149927554,0.981215285007244,0.0792872357178871,0.920712764282113,2,0.0187847149927554
2011-05-31,0.0198134014287489,0.980186598571251,0.0826608000861582,0.917339199913842,2,0.0198134014287489
2011-06-01,0.0198630054587446,0.980136994541255,0.0632095303228664,0.936790469677134,2,0.0198630054587446
2011-06-02,0.0193694620269437,0.980630537973056,0.127839855170432,0.872160144829568,2,0.0193694620269437
2011-06-06,0.0223242793282508,0.977675720671749,0.103819476769586,0.896180523230414,2,0.0223242793282508
2011-06-07,0.016300646976744,0.983699353023256,0.0756591936512375,0.924340806348763,2,0.016300646976744
2011-06-08,0.011718981259996,0.988281018740004,0.0558159419296873,0.944184058070313,2,0.011718981259996
2011-06-09,0.00925330121707762,0.990746698782922,0.0433014653432669,0.956698534656733,2,0.00925330121707762
2011-06-14,0.0085823055878304,0.991417694412169,0.0375959160667729,0.962404083933227,2,0.0085823055878304
2011-06-15,0.00978974149527456,0.990210258504725,0.0340715187896151,0.965928481210385,2,0.00978974149527456
2011-06-16,0.0132836323540401,0.986716367645959,0.122322376896557,0.877677623103443,2,0.0132836323540401
2011-06-20,0.0209503335512457,0.979049666448754,0.09114848542689,0.90885151457311,2,0.0209503335512457
2011-06-21,0.0152862655497776,0.984713734450222,0.0791890785425208,0.920810921457479,2,0.0152862655497776
2011-06-22,0.0120106349671335,0.987989365032866,0.0606840042831242,0.939315995716876,2,0.0120106349671335
2011-06-23,0.0091834073270578,0.990816592672941,0.0483472289026087,0.951652771097391,2,0.0091834073270578
2011-06-27,0.00772631042448063,0.992273689575519,0.0396733752312842,0.960326624768716,2,0.00772631042448063
2011-06-28,0.0074186291060018,0.992581370893997,0.0350884141487188,0.964911585851281,2,0.0074186291060018
2011-06-29,0.00854982625484895,0.99145017374515,0.0633647245780019,0.936635275421998,2,0.00854982625484895
2011-06-30,0.0117207807290448,0.988279219270955,0.0718190230656902,0.92818097693431,2,0.0117207807290448
2011-07-05,0.0110636626086471,0.988936337391352,0.0580751433396216,0.941924856660378,2,0.0110636626086471
2011-07-06,0.00886166956267211,0.991138330437327,0.044461204216912,0.955538795783088,2,0.00886166956267211
2011-07-07,0.00763298410800051,0.992367015891999,0.0385338585074218,0.961466141492578,2,0.00763298410800051
2011-07-11,0.00796048421147757,0.992039515788522,0.0347710629378204,0.96522893706218,2,0.00796048421147757
2011-07-12,0.00976376195945284,0.990236238040547,0.0862279368631226,0.913772063136877,2,0.00976376195945284
2011-07-13,0.0140802919705098,0.98591970802949,0.0605290974154551,0.939470902584545,2,0.0140802919705098
2011-07-14,0.0110560678801174,0.988943932119882,0.0457172853230798,0.95428271467692,2,0.0110560678801174
2011-07-18,0.0105404871045991,0.989459512895401,0.0398460939794695,0.960153906020531,2,0.0105404871045991
2011-07-19,0.0125435551651011,0.987456444834899,0.0360315962323387,0.963968403767661,2,0.0125435551651011
2011-07-20,0.0175115321294721,0.982488467870528,0.0506341029822985,0.949365897017701,2,0.0175115321294721
2011-07-21,0.0279332474405632,0.972066752559436,0.0408247156260131,0.959175284373987,2,0.0279332474405632
2011-07-25,0.0391724881495606,0.960827511850439,0.0362475967540512,0.963752403245949,2,0.0391724881495606
2011-07-26,0.0634709118244685,0.936529088175531,0.0372821828111299,0.96271781718887,2,0.0634709118244685
2011-07-27,0.112075596119806,0.887924403880194,0.0421778163937216,0.957822183606278,2,0.112075596119806
2011-07-28,0.198441280433816,0.801558719566184,0.0579779190555324,0.942022080944468,2,0.198441280433816
2011-08-02,0.335226978781875,0.664773021218124,0.0496536276623877,0.950346372337612,2,0.335226978781875
2011-08-03,0.501434548112301,0.498565451887699,0.249270545126233,0.750729454873767,1,0.501434548112301
2011-08-04,0.798284714301651,0.201715285698349,0.17204492049273,0.82795507950727,1,0.798284714301651
2011-08-08,0.870038450178812,0.129961549821187,0.999997233571351,2.7664286494842e-06,1,0.870038450178812
2011-08-09,0.999999742089351,2.57910648464367e-07,0.935727340909784,0.0642726590902157,1,0.999999742089351
2011-08-10,0.996130923821825,0.00386907617817499,0.953383865077723,0.0466161349222768,1,0.996130923821825
2011-08-11,0.9966705272505,0.00332947274950017,0.896188218530236,0.103811781469764,1,0.9966705272505
2011-08-15,0.995867987501453,0.00413201249854665,0.996220992470447,0.00377900752955278,1,0.995867987501453
2011-08-16,0.99915143094195,0.000848569058050363,0.905841795733044,0.0941582042669557,1,0.99915143094195
2011-08-17,0.987280285811718,0.0127197141882824,0.800844435377483,0.199155564622517,1,0.987280285811718
2011-08-18,0.984740873088278,0.0152591269117218,0.785273592103228,0.214726407896772,1,0.984740873088278
2011-08-22,0.990411418321053,0.00958858167894689,0.998399013845049,0.00160098615495134,1,0.990411418321053
2011-08-23,0.998546113935355,0.001453886064645,0.960831529973076,0.0391684700269239,1,0.998546113935355
2011-08-24,0.944116070012428,0.055883929987572,0.857423133171621,0.142576866828379,1,0.944116070012428
2011-08-25,0.86174368421866,0.13825631578134,0.713425941370653,0.286574058629347,1,0.86174368421866
2011-08-29,0.815871741102646,0.184128258897354,0.588110795408382,0.411889204591618,1,0.815871741102646
2011-08-30,0.798766545396359,0.201233454603641,0.445520400784619,0.554479599215381,1,0.798766545396359
2011-08-31,0.799442776380479,0.200557223619521,0.308640122761717,0.691359877238283,1,0.799442776380479
2011-09-01,0.821516422099341,0.178483577900659,0.203711370091614,0.796288629908386,1,0.821516422099341
2011-09-06,0.875030168883754,0.124969831116246,0.85275140745382,0.14724859254618,1,0.875030168883754
2011-09-07,0.980861455056036,0.0191385449439638,0.906805783060781,0.0931942169392187,1,0.980861455056036
2011-09-08,0.981090515139326,0.018909484860673,0.753902737259439,0.246097262740561,1,0.981090515139326
2011-09-12,0.974637549182763,0.025362450817236,0.973065079029017,0.026934920970983,1,0.974637549182763
2011-09-13,0.981531241108699,0.0184687588913001,0.898094075146338,0.101905924853662,1,0.981531241108699
2011-09-14,0.942727428027366,0.0572725719726339,0.812119510476297,0.187880489523703,1,0.942727428027366
2011-09-15,0.916363076060267,0.0836369239397319,0.67343707579208,0.32656292420792,1,0.916363076060267
2011-09-19,0.902072994530113,0.0979270054698862,0.492351710899107,0.507648289100893,1,0.902072994530113
2011-09-20,0.904666258306227,0.0953337416937721,0.534676026274133,0.465323973725867,1,0.904666258306227
2011-09-21,0.929485352343162,0.0705146476568374,0.379774004860522,0.620225995139478,1,0.929485352343162
2011-09-22,0.951260192369128,0.0487398076308713,0.982899020017057,0.0171009799829433,1,0.951260192369128
2011-09-26,0.999460255116579,0.000539744883420689,0.99999995797522,4.20247794769647e-08,1,0.999460255116579
2011-09-27,0.999999998619941,1.38005842356767e-09,0.998611091161118,0.00138890883888244,1,0.999999998619941
2011-09-28,0.999888022047377,0.000111977952622445,0.954895213401981,0.0451047865980187,1,0.999888022047377
2011-09-29,0.996853112661606,0.0031468873383928,0.888507248302236,0.111492751697764,1,0.996853112661606
2011-10-03,0.996091679681038,0.0039083203189614,0.99895607693314,0.00104392306686,1,0.996091679681038
2011-10-04,0.99995710156677,4.28984332289632e-05,0.981695266346386,0.0183047336536143,1,0.99995710156677
2011-10-05,0.999366608522292,0.000633391477707068,0.995142518805955,0.00485748119404527,1,0.999366608522292
2011-10-06,0.99976139050674,0.000238609493259836,0.995177476839985,0.00482252316001476,1,0.99976139050674
2011-10-10,0.998802112109186,0.00119788789081369,0.88225414063348,0.11774585936652,1,0.998802112109186
2011-10-11,0.985500482288831,0.0144995177111687,0.770828190972228,0.229171809027772,1,0.985500482288831
2011-10-12,0.984706939198559,0.0152930608014404,0.916367203433122,0.0836327965668777,1,0.984706939198559
2011-10-13,0.992483345770783,0.00751665422921618,0.900325525038502,0.0996744749614981,1,0.992483345770783
2011-10-17,0.992078494344599,0.00792150565540019,0.936969154048794,0.0630308459512062,1,0.992078494344599
2011-10-18,0.992943207439413,0.00705679256058693,0.84716472721977,0.152835272780229,1,0.992943207439413
2011-10-19,0.99039819179411,0.0096018082058892,0.94445255855123,0.0555474414487703,1,0.99039819179411
2011-10-20,0.994537695730915,0.0054623042690846,0.811397401455871,0.188602598544129,1,0.994537695730915
2011-10-24,0.992488866378235,0.00751113362176529,0.995439397079505,0.00456060292049488,1,0.992488866378235
2011-10-25,0.999554991090618,0.000445008909382168,0.882469126934892,0.117530873065108,1,0.999554991090618
2011-10-26,0.995583956293525,0.0044160437064749,0.995701874741653,0.00429812525834653,1,0.995583956293525
2011-10-27,0.999558744740704,0.000441255259295773,0.882894925028554,0.117105074971446,1,0.999558744740704
2011-11-01,0.995262882224249,0.00473711777575116,0.990730239141197,0.00926976085880308,1,0.995262882224249
2011-11-02,0.999059091035319,0.000940908964680156,0.890417712459469,0.109582287540531,1,0.999059091035319
2011-11-03,0.995021019383093,0.00497898061690665,0.995982929901004,0.004017070098996,1,0.995021019383093
2011-11-07,0.998224158545237,0.00177584145476284,0.896460779439623,0.103539220560377,1,0.998224158545237
2011-11-08,0.972881805137049,0.0271181948629509,0.793581914873362,0.206418085126638,1,0.972881805137049
2011-11-09,0.963595602732563,0.0364043972674369,0.97618525913592,0.02381474086408,1,0.963595602732563
2011-11-10,0.964473674994321,0.0355263250056786,0.888966679005459,0.111033320994541,1,0.964473674994321
2011-11-14,0.876403192882725,0.123596807117275,0.775315829720403,0.224684170279597,1,0.876403192882725
2011-11-15,0.819699231476349,0.18030076852365,0.619064913552156,0.380935086447844,1,0.819699231476349
